status,familia,produto,design,material,indice_refracao,tratamento,nota_disponibilidade
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Optifog,Optifog,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Trio Easy Clean,Trio Easy Clean,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,No Reflex,No Reflex,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Sapphire HR,Crizal Sapphire HR,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Rock,Crizal Rock,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Easy Pro,Crizal Easy Pro,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Optifog,Optifog,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Prevencia,Crizal Prevencia,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Sapphire HR,Crizal Sapphire HR,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Rock,Crizal Rock,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Easy Pro,Crizal Easy Pro,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Optifog,Optifog,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.74,1.74,Crizal Sapphire HR,Crizal Sapphire HR,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Prevencia,Crizal Prevencia,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Sapphire HR,Crizal Sapphire HR,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Rock,Crizal Rock,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Easy Pro,Crizal Easy Pro,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Optifog,Optifog,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,No Reflex,No Reflex,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Trio Easy Clean,Trio Easy Clean,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Blue UV,Blue UV,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Prevencia,Crizal Prevencia,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Sapphire HR,Crizal Sapphire HR,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Rock,Crizal Rock,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Easy Pro,Crizal Easy Pro,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Optifog,Optifog,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Trio Easy Clean,Trio Easy Clean,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,No Reflex,No Reflex,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Prevencia,Crizal Prevencia,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Sapphire HR,Crizal Sapphire HR,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Rock,Crizal Rock,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Easy Pro,Crizal Easy Pro,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Optifog,Optifog,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Trio Easy Clean,Trio Easy Clean,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,No Reflex,No Reflex,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Prevencia,Crizal Prevencia,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Sapphire HR,Crizal Sapphire HR,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Rock,Crizal Rock,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Easy Pro,Crizal Easy Pro,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Optifog,Optifog,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,No Reflex,No Reflex,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Trio Easy Clean,Trio Easy Clean,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Blue UV,Blue UV,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Prevencia,Crizal Prevencia,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Sapphire HR,Crizal Sapphire HR,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Rock,Crizal Rock,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Easy Pro,Crizal Easy Pro,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Optifog,Optifog,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Trio Easy Clean,Trio Easy Clean,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,No Reflex,No Reflex,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Prevencia,Crizal Prevencia,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Sapphire HR,Crizal Sapphire HR,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Rock,Crizal Rock,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Easy Pro,Crizal Easy Pro,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Optifog,Optifog,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Trio Easy Clean,Trio Easy Clean,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,No Reflex,No Reflex,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Prevencia,Crizal Prevencia,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Sapphire HR,Crizal Sapphire HR,
